EID,Xvalue,Yvalue,Zvalue,time
0,1.7094600200653076,-8.427590370178223,1.7884687185287476,2017-04-30 13:43:48.135
1,1.8411411046981807,-8.421604156494139,2.276885747909546,2017-04-30 13:43:48.145
2,1.766920804977417,-8.44554615020752,2.078166961669922,2017-04-30 13:43:48.156
3,1.429338455200195,-8.571242332458496,1.7405846118927002,2017-04-30 13:43:48.166
4,1.0618284940719604,-8.643068313598633,0.9672574996948242,2017-04-30 13:43:48.176
5,0.6584054827690125,-8.808267593383789,0.3112462162971497,2017-04-30 13:43:48.186
6,0.4082113802433014,-8.951920509338379,-0.05027823522686958,2017-04-30 13:43:48.196
7,0.30286651849746704,-9.02135181427002,-0.17238251864910126,2017-04-30 13:43:48.208
8,0.3734954595565796,-9.12071132659912,-0.09696517139673233,2017-04-30 13:43:48.218
9,0.5793967843055725,-9.23563289642334,0.08858546614646913,2017-04-30 13:43:48.227
10,0.8319851160049438,-9.459490776062012,0.4153940081596375,2017-04-30 13:43:48.238
11,1.1204863786697388,-9.646238327026367,0.8164227604866028,2017-04-30 13:43:48.248
12,1.381454348564148,-9.864110946655273,0.7769184708595276,2017-04-30 13:43:48.256
13,1.6053122282028198,-10.135852813720703,0.028730420395731926,2017-04-30 13:43:48.266
14,1.599326729774475,-10.407594680786133,-0.606930136680603,2017-04-30 13:43:48.275
15,1.3539210557937622,-10.60152530670166,-1.0259153842926023,2017-04-30 13:43:48.286
16,0.8020575642585754,-10.960655212402344,-1.3527239561080933,2017-04-30 13:43:48.296
17,0.19632454216480247,-11.498153686523438,-1.4760253429412842,2017-04-30 13:43:48.306
18,0.04189852997660637,-11.919532775878904,-0.9852139949798584,2017-04-30 13:43:48.316
19,0.7817068696022034,-12.204442977905273,-0.6488286852836609,2017-04-30 13:43:48.326
20,0.8523358106613159,-12.27626895904541,-1.015141487121582,2017-04-30 13:43:48.336
21,0.456095427274704,-12.304999351501465,-1.838746905326844,2017-04-30 13:43:48.346
22,-0.3292027413845062,-12.20803451538086,-2.536656618118286,2017-04-30 13:43:48.356
23,-0.6141127347946167,-12.12902545928955,-2.942473888397217,2017-04-30 13:43:48.366
24,-0.7625532150268555,-11.683704376220705,-3.5003228187561035,2017-04-30 13:43:48.376
25,-0.42616790533065796,-10.921151161193848,-3.4392707347869886,2017-04-30 13:43:48.386
26,0.2094926536083221,-10.508151054382324,-2.942473888397217,2017-04-30 13:43:48.396
27,0.6105214357376099,-10.90678596496582,-1.9512743949890137,2017-04-30 13:43:48.406
28,1.1276689767837524,-11.693281173706055,-0.6715735793113708,2017-04-30 13:43:48.416
29,1.8986018896102903,-12.538434028625488,0.6045359373092651,2017-04-30 13:43:48.426
30,2.3259668350219727,-13.096282958984375,1.7968484163284302,2017-04-30 13:43:48.435
